               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03511,            0.012079,                   0,             0.80939,             0.78947,             0.83055,             0.39728,            0.041484,             0.01685,                   0,             0.00829,             0.00829,             0.00829
                  40,            0.035752,            0.012021,                   0,             0.70765,             0.84211,             0.83466,             0.37466,            0.042298,            0.017346,                   0,            0.008245,            0.008245,            0.008245
                  41,            0.035286,            0.011562,                   0,              0.8645,             0.67179,             0.77903,             0.33642,             0.04371,            0.018612,                   0,              0.0082,              0.0082,              0.0082
                  42,            0.035401,             0.01196,                   0,             0.82172,             0.81579,             0.85939,             0.38527,             0.04318,            0.016323,                   0,            0.008155,            0.008155,            0.008155
                  43,            0.034975,            0.011577,                   0,             0.77038,             0.81579,              0.8309,             0.37902,            0.042399,            0.017138,                   0,             0.00811,             0.00811,             0.00811
                  44,            0.034987,            0.012043,                   0,             0.79841,             0.86842,             0.88327,              0.4215,            0.039526,            0.017042,                   0,            0.008065,            0.008065,            0.008065
                  45,            0.034169,            0.011663,                   0,             0.84639,             0.73684,             0.84703,             0.38592,            0.041852,            0.016713,                   0,             0.00802,             0.00802,             0.00802
                  46,            0.034314,            0.011304,                   0,              0.8455,             0.86415,             0.90769,              0.3847,            0.042476,            0.017207,                   0,            0.007975,            0.007975,            0.007975
                  47,            0.034485,            0.011691,                   0,              0.8111,             0.81579,             0.89502,             0.40259,            0.041494,            0.016003,                   0,             0.00793,             0.00793,             0.00793
                  48,            0.033439,            0.011303,                   0,             0.85899,             0.86842,             0.88272,             0.38838,             0.04092,            0.016329,                   0,            0.007885,            0.007885,            0.007885
                  49,            0.033724,            0.011625,                   0,             0.88063,             0.84211,              0.9175,             0.37865,            0.041727,            0.017202,                   0,             0.00784,             0.00784,             0.00784
                  50,            0.033803,            0.011074,                   0,             0.80453,             0.86654,             0.87021,             0.38153,            0.044974,            0.016521,                   0,            0.007795,            0.007795,            0.007795
                  51,            0.033265,             0.01143,                   0,             0.80854,             0.77808,             0.84128,             0.37015,            0.043642,            0.017373,                   0,             0.00775,             0.00775,             0.00775
                  52,             0.03347,            0.010953,                   0,             0.79755,             0.82955,             0.86733,             0.39542,            0.041681,            0.017376,                   0,            0.007705,            0.007705,            0.007705
                  53,            0.032795,            0.011244,                   0,             0.81505,             0.92787,             0.93338,             0.38354,            0.042617,             0.01678,                   0,             0.00766,             0.00766,             0.00766
                  54,            0.033275,            0.011299,                   0,             0.85322,             0.84211,             0.87647,             0.40907,            0.041561,            0.017183,                   0,            0.007615,            0.007615,            0.007615
                  55,               0.033,            0.011446,                   0,             0.70107,             0.76316,             0.79004,             0.38021,            0.043086,            0.017015,                   0,             0.00757,             0.00757,             0.00757
                  56,            0.032731,            0.011172,                   0,             0.87065,             0.88578,             0.91283,              0.3947,            0.041094,            0.015354,                   0,            0.007525,            0.007525,            0.007525
                  57,            0.032502,            0.011194,                   0,             0.81537,             0.86842,             0.90054,             0.34009,            0.044378,            0.018043,                   0,             0.00748,             0.00748,             0.00748
                  58,            0.032182,            0.011217,                   0,             0.76516,             0.78947,             0.84378,             0.40153,            0.042258,            0.017672,                   0,            0.007435,            0.007435,            0.007435
                  59,            0.032008,            0.011258,                   0,             0.82349,             0.85954,              0.9142,             0.42439,            0.040781,            0.017002,                   0,             0.00739,             0.00739,             0.00739
                  60,            0.032117,            0.011023,                   0,             0.78891,             0.88529,             0.89842,             0.38539,            0.042562,            0.018262,                   0,            0.007345,            0.007345,            0.007345
                  61,             0.03192,            0.011023,                   0,             0.86825,             0.86718,              0.9119,             0.40527,            0.040916,            0.017789,                   0,              0.0073,              0.0073,              0.0073
                  62,             0.03184,            0.010991,                   0,             0.79253,             0.81579,             0.86541,             0.38284,             0.04457,            0.017365,                   0,            0.007255,            0.007255,            0.007255
                  63,            0.031385,            0.010911,                   0,             0.81826,             0.73684,             0.78395,             0.33719,            0.046279,            0.017071,                   0,             0.00721,             0.00721,             0.00721
                  64,            0.031697,            0.010763,                   0,             0.85032,             0.81579,              0.8823,             0.40302,            0.041698,            0.016916,                   0,            0.007165,            0.007165,            0.007165
                  65,            0.031229,            0.010444,                   0,             0.94112,             0.84122,             0.91717,             0.42956,            0.040583,            0.017458,                   0,             0.00712,             0.00712,             0.00712
                  66,            0.031425,            0.010932,                   0,              0.7741,             0.76316,             0.83026,              0.3903,            0.041096,            0.018302,                   0,            0.007075,            0.007075,            0.007075
                  67,            0.030819,            0.010926,                   0,             0.86362,             0.83339,             0.88071,             0.40078,            0.043729,            0.017199,                   0,             0.00703,             0.00703,             0.00703
                  68,            0.030923,            0.010546,                   0,             0.81384,             0.81579,             0.85291,             0.40204,            0.042782,            0.017589,                   0,            0.006985,            0.006985,            0.006985
                  69,            0.030513,            0.010509,                   0,             0.79929,             0.83847,              0.8855,             0.42657,            0.040645,            0.017295,                   0,             0.00694,             0.00694,             0.00694
                  70,            0.030723,            0.010567,                   0,             0.85524,             0.81579,             0.88156,             0.39675,            0.041357,            0.018804,                   0,            0.006895,            0.006895,            0.006895
                  71,            0.030141,            0.010804,                   0,             0.81547,             0.81408,             0.83947,             0.38652,            0.040414,            0.018687,                   0,             0.00685,             0.00685,             0.00685
                  72,             0.03052,            0.010834,                   0,             0.84524,             0.86842,             0.88278,             0.37485,            0.042802,            0.018591,                   0,            0.006805,            0.006805,            0.006805
                  73,            0.030097,            0.010402,                   0,             0.72047,             0.81397,             0.79715,             0.40647,             0.04044,            0.018986,                   0,             0.00676,             0.00676,             0.00676
                  74,            0.029849,            0.010694,                   0,             0.83519,             0.81579,              0.8334,             0.37081,            0.042637,            0.017413,                   0,            0.006715,            0.006715,            0.006715
                  75,            0.029755,            0.010724,                   0,             0.90563,             0.75776,             0.87823,             0.41215,            0.040539,            0.018003,                   0,             0.00667,             0.00667,             0.00667
                  76,            0.029952,            0.010549,                   0,             0.81375,             0.78947,             0.86893,              0.4321,             0.04027,            0.017562,                   0,            0.006625,            0.006625,            0.006625
                  77,            0.029254,            0.010581,                   0,             0.76188,             0.84201,             0.83173,             0.39004,            0.043066,            0.017907,                   0,             0.00658,             0.00658,             0.00658
                  78,            0.029584,            0.010402,                   0,             0.89067,             0.78947,             0.89887,             0.39329,            0.042794,            0.018014,                   0,            0.006535,            0.006535,            0.006535
                  79,             0.02978,            0.010663,                   0,             0.80818,             0.77631,              0.8373,             0.36988,              0.0431,            0.019466,                   0,             0.00649,             0.00649,             0.00649
                  80,            0.029247,            0.010938,                   0,             0.80761,             0.86842,             0.89044,             0.41174,            0.041664,            0.018473,                   0,            0.006445,            0.006445,            0.006445
                  81,            0.028696,            0.010171,                   0,             0.84493,             0.86047,             0.88801,             0.41472,            0.041198,            0.017757,                   0,              0.0064,              0.0064,              0.0064
                  82,            0.028981,           0.0098376,                   0,             0.82051,             0.86842,             0.91004,              0.4103,            0.040816,            0.017376,                   0,            0.006355,            0.006355,            0.006355
                  83,            0.028585,            0.010368,                   0,             0.82294,             0.86842,             0.89527,             0.43302,            0.040661,            0.017327,                   0,             0.00631,             0.00631,             0.00631
                  84,            0.028711,            0.010286,                   0,             0.80943,             0.78947,             0.81313,             0.37323,             0.04208,            0.018713,                   0,            0.006265,            0.006265,            0.006265
                  85,            0.028689,            0.010324,                   0,              0.8057,             0.89474,             0.89936,             0.42736,             0.04107,            0.016815,                   0,             0.00622,             0.00622,             0.00622
                  86,            0.028268,            0.010237,                   0,              0.7655,             0.78947,             0.76292,             0.32934,            0.043548,            0.021512,                   0,            0.006175,            0.006175,            0.006175
                  87,            0.028211,            0.010137,                   0,             0.68789,             0.81209,             0.75483,              0.3502,            0.044554,            0.019381,                   0,             0.00613,             0.00613,             0.00613
                  88,            0.027937,            0.010157,                   0,              0.8854,             0.81333,             0.88822,             0.41791,            0.040596,            0.018486,                   0,            0.006085,            0.006085,            0.006085
                  89,            0.027891,            0.010104,                   0,             0.77197,             0.89097,             0.84935,             0.37913,            0.042494,            0.018788,                   0,             0.00604,             0.00604,             0.00604
                  90,            0.027886,           0.0099629,                   0,              0.8372,             0.84211,             0.87417,             0.38258,            0.042964,            0.017322,                   0,            0.005995,            0.005995,            0.005995
                  91,            0.027678,           0.0097962,                   0,             0.75526,             0.73102,             0.79879,             0.37992,            0.042766,            0.019931,                   0,             0.00595,             0.00595,             0.00595
                  92,            0.027883,            0.009984,                   0,              0.8435,             0.73684,             0.83186,             0.37495,            0.043315,            0.019728,                   0,            0.005905,            0.005905,            0.005905
                  93,            0.026909,           0.0098809,                   0,             0.85754,             0.81579,             0.88295,             0.40362,             0.04176,            0.018233,                   0,             0.00586,             0.00586,             0.00586
                  94,            0.026924,            0.009874,                   0,             0.77626,             0.76316,             0.81632,              0.4061,            0.040873,            0.019012,                   0,            0.005815,            0.005815,            0.005815
                  95,            0.026727,           0.0095992,                   0,             0.74776,             0.76316,             0.80198,             0.36868,            0.043164,            0.018433,                   0,             0.00577,             0.00577,             0.00577
                  96,            0.027291,           0.0096018,                   0,             0.86822,             0.76316,             0.85938,             0.39941,            0.042004,            0.020097,                   0,            0.005725,            0.005725,            0.005725
                  97,            0.026942,            0.009576,                   0,             0.82647,             0.78947,             0.84346,             0.42374,            0.041716,            0.019205,                   0,             0.00568,             0.00568,             0.00568
                  98,            0.026779,           0.0097656,                   0,             0.80877,             0.77924,             0.84575,             0.38495,             0.04135,            0.019792,                   0,            0.005635,            0.005635,            0.005635
                  99,            0.026513,           0.0096218,                   0,             0.89214,             0.78947,             0.91456,             0.40739,            0.040982,            0.019803,                   0,             0.00559,             0.00559,             0.00559
                 100,             0.02616,           0.0095324,                   0,             0.86025,              0.8101,             0.85646,             0.39161,              0.0431,            0.018713,                   0,            0.005545,            0.005545,            0.005545
                 101,            0.026685,           0.0094623,                   0,             0.88527,             0.78947,             0.88068,             0.40394,            0.041263,            0.019434,                   0,              0.0055,              0.0055,              0.0055
                 102,            0.026749,           0.0094589,                   0,             0.83817,             0.81579,             0.87013,             0.41049,            0.039469,            0.020321,                   0,            0.005455,            0.005455,            0.005455
                 103,             0.02584,           0.0093317,                   0,             0.84347,             0.78947,             0.83136,             0.36475,            0.043832,            0.021111,                   0,             0.00541,             0.00541,             0.00541
                 104,            0.026115,           0.0095264,                   0,             0.81804,             0.84211,             0.87651,              0.3901,             0.04134,            0.020454,                   0,            0.005365,            0.005365,            0.005365
                 105,            0.025483,           0.0094709,                   0,             0.77754,             0.78947,             0.79521,             0.37012,            0.041834,            0.020839,                   0,             0.00532,             0.00532,             0.00532
                 106,            0.025853,            0.009353,                   0,             0.79574,             0.84211,             0.87026,             0.40359,             0.04046,            0.019835,                   0,            0.005275,            0.005275,            0.005275
                 107,            0.025546,           0.0090908,                   0,             0.77539,             0.84211,             0.85685,             0.39391,            0.040728,            0.021426,                   0,             0.00523,             0.00523,             0.00523
                 108,            0.025432,           0.0092853,                   0,             0.87746,             0.78947,             0.87801,             0.40666,            0.041286,            0.019851,                   0,            0.005185,            0.005185,            0.005185
                 109,            0.025594,           0.0092425,                   0,             0.85069,             0.74984,             0.84009,             0.37329,            0.042242,            0.019835,                   0,             0.00514,             0.00514,             0.00514
                 110,            0.025403,           0.0092551,                   0,             0.82519,             0.78947,             0.85789,             0.40197,            0.040012,            0.018329,                   0,            0.005095,            0.005095,            0.005095
                 111,            0.025977,           0.0090665,                   0,             0.84135,             0.86842,             0.90596,             0.40496,             0.03957,            0.017878,                   0,             0.00505,             0.00505,             0.00505
                 112,            0.024965,           0.0091338,                   0,             0.83823,             0.78947,             0.86388,             0.41117,            0.039678,            0.019787,                   0,            0.005005,            0.005005,            0.005005
                 113,            0.024927,            0.009194,                   0,             0.80047,             0.81579,             0.87012,             0.41567,            0.039924,            0.018836,                   0,             0.00496,             0.00496,             0.00496
                 114,            0.024427,           0.0092271,                   0,             0.84577,             0.86591,             0.88024,             0.40277,            0.039286,            0.019279,                   0,            0.004915,            0.004915,            0.004915
                 115,            0.024627,           0.0093011,                   0,             0.84204,             0.86842,             0.86399,             0.40895,            0.038659,            0.017843,                   0,             0.00487,             0.00487,             0.00487
                 116,            0.024619,           0.0090235,                   0,             0.74977,             0.81579,             0.84183,             0.41794,            0.041551,            0.017651,                   0,            0.004825,            0.004825,            0.004825
                 117,            0.024308,            0.009077,                   0,             0.80915,              0.8926,              0.9037,             0.42745,            0.039786,            0.019525,                   0,             0.00478,             0.00478,             0.00478
                 118,            0.023974,           0.0089483,                   0,             0.81844,             0.83057,             0.88548,             0.43498,            0.039755,            0.020406,                   0,            0.004735,            0.004735,            0.004735
                 119,             0.02397,           0.0090216,                   0,             0.83291,             0.78715,             0.82527,             0.40689,             0.03967,            0.020956,                   0,             0.00469,             0.00469,             0.00469
                 120,            0.024172,           0.0086128,                   0,             0.86786,             0.81579,             0.87812,             0.41891,            0.039767,            0.020711,                   0,            0.004645,            0.004645,            0.004645
